Gmt time,Open,High,Low,Close,Volume
02.04.2019 16:00:00.000,1.30330,1.30806,1.30282,1.30762,11835.71
02.04.2019 17:00:00.000,1.30763,1.31309,1.30691,1.31094,16867.7305
02.04.2019 18:00:00.000,1.31095,1.31238,1.31056,1.31135,7932.1401
02.04.2019 19:00:00.000,1.31135,1.31308,1.31102,1.31299,6170.8901
02.04.2019 20:00:00.000,1.31297,1.31492,1.31229,1.31234,5682.6401
02.04.2019 21:00:00.000,1.31302,1.31346,1.31255,1.31282,3298.52
02.04.2019 22:00:00.000,1.31282,1.31422,1.31277,1.31278,2287.0901
02.04.2019 23:00:00.000,1.31277,1.31343,1.31247,1.31262,3436.3899
03.04.2019 00:00:00.000,1.31262,1.31338,1.31229,1.31299,4875.9399
03.04.2019 01:00:00.000,1.31299,1.31378,1.31209,1.31357,3686.6101
03.04.2019 02:00:00.000,1.31357,1.31460,1.31337,1.31404,3497.01
03.04.2019 03:00:00.000,1.31406,1.31413,1.31363,1.31374,2134.03
03.04.2019 04:00:00.000,1.31376,1.31421,1.31319,1.31419,2115.6699
03.04.2019 05:00:00.000,1.31419,1.31423,1.31339,1.31407,2262.05
03.04.2019 06:00:00.000,1.31404,1.31810,1.31398,1.31808,11373.4404
03.04.2019 07:00:00.000,1.31809,1.31929,1.31725,1.31874,24063.5
03.04.2019 08:00:00.000,1.31873,1.31956,1.31415,1.31721,20922.9199
03.04.2019 09:00:00.000,1.31721,1.31839,1.31666,1.31817,15590.7695
03.04.2019 10:00:00.000,1.31817,1.31848,1.31658,1.31707,13196.2197
03.04.2019 11:00:00.000,1.31707,1.31733,1.31531,1.31660,11808.6299
03.04.2019 12:00:00.000,1.31659,1.31865,1.31609,1.31680,16138.9297
03.04.2019 13:00:00.000,1.31679,1.31692,1.31207,1.31310,16556.1797
03.04.2019 14:00:00.000,1.31346,1.31608,1.31311,1.31589,18843.4492
03.04.2019 15:00:00.000,1.31595,1.31850,1.31426,1.31822,14945.4297
03.04.2019 16:00:00.000,1.31822,1.31822,1.31561,1.31688,11397.4805
03.04.2019 17:00:00.000,1.31688,1.31793,1.31515,1.31547,7500.46
03.04.2019 18:00:00.000,1.31547,1.31673,1.31419,1.31548,7494.3301
03.04.2019 19:00:00.000,1.31548,1.31660,1.31522,1.31649,3948.51
03.04.2019 20:00:00.000,1.31649,1.31649,1.31530,1.31556,2953.95
03.04.2019 21:00:00.000,1.31518,1.31658,1.31515,1.31557,3885.8401
03.04.2019 22:00:00.000,1.31557,1.31783,1.31557,1.31749,2601.5701
03.04.2019 23:00:00.000,1.31755,1.31801,1.31709,1.31755,3297.28
04.04.2019 00:00:00.000,1.31755,1.31811,1.31755,1.31767,3328.78
04.04.2019 01:00:00.000,1.31768,1.31777,1.31718,1.31766,2164.0601
04.04.2019 02:00:00.000,1.31765,1.31774,1.31731,1.31752,2019.4399
04.04.2019 03:00:00.000,1.31752,1.31772,1.31687,1.31713,2124.53
04.04.2019 04:00:00.000,1.31713,1.31723,1.31685,1.31691,1447.53
04.04.2019 05:00:00.000,1.31692,1.31864,1.31683,1.31821,2494.79
04.04.2019 06:00:00.000,1.31822,1.31907,1.31721,1.31880,13069.5303
04.04.2019 07:00:00.000,1.31880,1.31906,1.31692,1.31867,18192.3691
04.04.2019 08:00:00.000,1.31866,1.31866,1.31557,1.31627,16628.5
04.04.2019 09:00:00.000,1.31627,1.31643,1.31409,1.31564,17746.6309
04.04.2019 10:00:00.000,1.31563,1.31637,1.31443,1.31469,16837.25
04.04.2019 11:00:00.000,1.31470,1.31480,1.31292,1.31327,17924.5996
04.04.2019 12:00:00.000,1.31323,1.31395,1.31242,1.31269,18603.2207
